كود العطل (OBD),وصف المشكلة (بالعربية),قطعة الغيار المطلوبة,متوسط السعر (EGP),ساعات العمل,مصنعية تقريبية,المصدر,,,,,,
P0171,خليط وقود فقير (Bank 1),حساس شكمان (أوكسجين),"2,800 - 5,500",1,300 - 600,RepairPal,,,,,,
P0442,تسريب بسيط بنظام EVAP,صمام كانستر,"1,500 - 3,200",1,300 - 500,RepairPal,,,,,,
P0401,ضعف تدفق غازات EGR,صمام EGR,"3,200 - 6,000",1.5,"600 - 1,000",RepairPal,,,,,,
P0325,عطل حساس التصفيق (Knock),حساس خبط (Knock),"1,800 - 3,200",2,"600 - 1,000",RepairPal,,,,,,
P0400,عطل في تدفق الـ EGR,تنظيف صمام EGR,500 (كيماوي),1.5,500 - 800,RepairPal,,,,,,
P0455,تسريب كبير في التانك,غطاء تانك / خرطوم,"500 - 1,500",1,300 - 600,RepairPal,,,,,,
P0440,عطل في نظام الـ EVAP,فحص خراطيم الكربون,"500 - 1,500",1.5,400 - 700,RepairPal,,,,,,
P0411,تدفق هواء ثانوي غير صحيح,طلمبة هواء (Air Pump),"4,500 - 9,000",1.5,500 - 900,RepairPal,,,,,,
P0446,عطل صمام تنفيس الـ EVAP,بلف تنفيس,"1,400 - 3,000",1,350 - 600,RepairPal,,,,,,
P0327,انخفاض إشارة حساس الخبط,حساس Knock,"1,600 - 3,000",2,"600 - 1,000",RepairPal,,,,,,
P0510,عطل مفتاح وضع الخمول,حساس بوابة / مفتاح,"1,000 - 2,500",1,350 - 600,RepairPal,,,,,,
P0452,انخفاض ضغط الـ EVAP,حساس ضغط التانك,"1,800 - 4,000",2,"600 - 1,200",RepairPal,,,,,,
P0447,فتح في دائرة تنفيس EVAP,صمام Vent / ضفيرة,"1,500 - 3,500",1,400 - 700,RepairPal,,,,,,
P0456,تسريب ضئيل جداً في EVAP,غطاء تانك / خرطوم هواء,"450 - 1,200",1.0 - 2.0,400 - 800,RepairPal,,,,,,
P0219,تجاوز سرعة المحرك,فحص حساس كرنك/برمجة,---,1,400 - 700,RepairPal,,,,,,
P0430,كفاءة المحفز (Bank 2),علبة بيئة ثانية,"8,000 - 18,000",2,"800 - 1,500",RepairPal,,,,,,
P0088,ضغط مسطرة الوقود مرتفع,منظم ضغط الوقود,"3,500 - 7,000",1.5,"600 - 1,000",RepairPal,,,,,,
P0299,نقص شحن التيربو (Underboost),تيربو شارجر / خراطيم,"15,000 - 45,000",3,"2,000 - 4,500",RepairPal,,,,,,
P0016,عدم توافق الكرنك والكامة,طقم كاتينة / حساسات,"4,500 - 12,000",3,"1,500 - 3,000",RepairPal,,,,,,
P050B,توقيت تشغيل بارد غير صحيح,حساس حرارة / بوابة,"2,000 - 5,000",1,400 - 700,RepairPal,,,,,,
P0332,انخفاض دخل حساس الخبط 2,حساس Knock 2,"1,800 - 3,600",2,"700 - 1,200",RepairPal,,,,,,
P0326,مدى أداء حساس الخبط,حساس Knock,"1,700 - 3,400",2,"600 - 1,000",RepairPal,,,,,,
P0017,عدم توافق كرنك وكامة (Exh),طقم كاتينة,"5,000 - 14,000",3.5,"2,000 - 3,500",RepairPal,,,,,,
P2187,خليط فقير في الخمول,صمام تبخير / بوابة,"1,800 - 4,000",1,400 - 700,RepairPal,,,,,,
P0411,تدفق هواء ثانوى غير صحيح,طلمبة هواء,"4,500 - 9,500",2,"700 - 1,200",RepairPal,,,,,,
P0050,عطل سخان حساس شكمان (B2),حساس أوكسجين,"3,000 - 5,500",1,400 - 600,RepairPal,,,,,,
P2196,إشارة حساس شكمان غنية (1/1),حساس أوكسجين,"2,900 - 5,200",1,400 - 600,RepairPal,,,,,,
P0454,إشارة حساس EVAP متقطعة,حساس ضغط الخزان,"2,000 - 4,500",1.5,"600 - 1,000",RepairPal,,,,,,
P0205,عطل دائرة الرشاش (5),رشاش وقود,"1,800 - 4,000",1.5,400 - 700,RepairPal,,,,,,
P2106,نظام تحكم البوابة (Limitation),بوابة / كنترول,"4,500 - 10,000",1.5,"600 - 1,000",RepairPal,,,,,,
P2110,نظام تحكم البوابة (RPM),تنظيف بوابة / برمجة,300 (منظف),1,400 - 600,RepairPal,,,,,,
P2181,أداء نظام التبريد,طلمبة مياه / رادياتير,"2,500 - 6,000",2.5,"800 - 1,500",RepairPal,,,,,,
P0741,أداء محول العزم (علق),فحص طقم اصلاح فتيس,---,4.0+,"3,000+",RepairPal,,,,,,
P0505,عطل نظام الأيدل,صمام الأيدل,"1,500 - 3,500",1,400 - 600,RepairPal,,,,,,
P0412,عطل صمام نظام الهواء (A),بلف هواء ثانوي,"2,500 - 4,800",1.5,500 - 800,RepairPal,,,,,,
P0174,خليط وقود فقير (Bank 2),حساس شكمان / رشاشات,"2,800 - 5,500",1.5,500 - 900,RepairPal,,,,,,
P0840,عطل حساس ضغط زيت الفتيس,حساس ضغط زيت,"2,500 - 5,500",2,"800 - 1,500",RepairPal,,,,,,
P0405,انخفاض دخل حساس EGR,حساس صمام EGR,"2,500 - 5,000",1,400 - 700,RepairPal,,,,,,
P0201,عطل دائرة الرشاش 1,رشاش وقود,"1,500 - 3,800",1.5,400 - 700,RepairPal,,,,,,
P2138,عدم توافق حساسات الدعسة,دواسة بنزين كاملة,"3,500 - 7,500",1,400 - 700,RepairPal,,,,,,
P0420,ضعف كفاءة المحفز,علبة بيئة,"8,000 - 20,000",2,"800 - 1,500",RepairPal,,,,,,
P0351,عطل ملف الإشعال 1,موبينة,"1,300 - 3,200",0.5,150 - 300,RepairPal,,,,,,
P2191,خليط فقير عند حمل عالي,طلمبة بنزين / رشاشات,"3,500 - 8,000",1.5,"600 - 1,200",RepairPal,,,,,,
P0341,مدى أداء حساس الكامة,حساس كامة,"1,600 - 3,400",1,400 - 600,RepairPal,,,,,,
P0401,تدفق EGR غير كافٍ,تنظيف مسارات EGR,500 (منظف),2,"700 - 1,200",RepairPal,,,,,,
P0325,عطل حساس الخبط 1,حساس Knock,"1,800 - 3,500",2,"600 - 1,200",RepairPal,,,,,,
P0411,تدفق هواء ثانوي غير صحيح,طلمبة هواء,"4,500 - 9,500",2,"700 - 1,200",RepairPal,,,,,,
P0422,كفاءة المحفز الرئيسي,علبة بيئة,"8,000 - 22,000",2,"800 - 1,500",RepairPal,,,,,,
P0441,تدفق تطهير غير صحيح,بلف كانستر,"1,200 - 2,800",0.8,300 - 500,RepairPal,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"1,500 - 3,400",1,400 - 700,RepairPal,,,,,,
P0234,حالة شحن زائد (Overboost),صمام بوست / خراطيم تيربو,"3,200 - 6,000",1.5,"600 - 1,200",RepairPal,,,,,,
P0299,نقص شحن التيربو (Low),فحص تيربو / انترکولر,"12,000 - 35,000",3,"2,000 - 4,000",RepairPal,,,,,,
P0332,انخفاض دخل حساس الخبط 2,حساس Knock 2,"1,800 - 3,600",2,"800 - 1,400",RepairPal,,,,,,
P0430,كفاءة المحفز (Bank 2),علبة بيئة ثانية,"8,500 - 20,000",2,"800 - 1,500",RepairPal,,,,,,
P0305,ميس فاير اسطوانة 5,بوجيه / موبينة,"1,500 - 3,500",0.5,250 - 400,RepairPal,,,,,,
P0442,تسريب بسيط EVAP,فحص خراطيم صلبة,---,1.5,"600 - 1,000",RepairPal,,,,,,
P0455,تسريب كبير EVAP,خرطوم تانك / غطاء,"700 - 2,000",1.5,500 - 800,RepairPal,,,,,,
P0341,مدى حساس الكامة,حساس كامة,"1,600 - 3,400",1,400 - 600,RepairPal,,,,,,
P0352,عطل ملف الإشعال 2,موبينة,"1,300 - 3,000",0.5,200 - 300,RepairPal,,,,,,
P0342,انخفاض إشارة حساس الكامة,حساس كامة,"1,600 - 3,200",1,400 - 600,RepairPal,,,,,,
P0505,عطل نظام الأيدل,صمام الأيدل,"1,600 - 3,600",1,400 - 600,RepairPal,,,,,,
P0741,أداء محول العزم (علق),فحص زيت / بلف,---,3,"1,500 - 3,500",RepairPal,,,,,,
P0700,عطل عام في الفتيس,فحص ضفيرة الفتيس,---,1,"600 - 1,200",RepairPal,,,,,,
P0440,عطل عام في نظام EVAP,فحص وصلات التبخير,---,1.5,"600 - 1,200",RepairPal,,,,,,
P0456,تسريب ضئيل جداً (EVAP),غطاء تانك / خراطيم,"500 - 1,400",1,400 - 800,RepairPal,,,,,,
P0420,ضعف كفاءة البيئة,علبة بيئة / تنظيف,"9,000 - 25,000",2,"1,000 - 1,800",RepairPal,,,,,,
P0341,مدى حساس الكامة,حساس كامة,"1,800 - 3,800",1,500 - 800,RepairPal,,,,,,
P0455,تسريب كبير (EVAP),خرطوم تانك / غطاء,"800 - 2,500",1.5,"600 - 1,000",RepairPal,,,,,,
P0601,خطأ في ذاكرة الكنترول,شحن سوفت وير,"4,000 - 10,000",2,"2,000 - 3,500",RepairPal,,,,,,
P0700,عطل عام بالفتيس,فحص ضفيرة الفتيس,---,1,"800 - 1,500",RepairPal,,,,,,
P0520,عطل حساس الزيت,حساس ضغط زيت,"900 - 2,400",1,400 - 600,RepairPal,,,,,,
P0744,إشارة متقطعة TCC,ضفيرة فتيس / بلف,"3,000 - 6,500",2,"1,000 - 2,000",RepairPal,,,,,,
P0604,خطأ في رام الكنترول,تغيير ECU,"8,500 - 22,000",2,"2,500 - 4,500",RepairPal,,,,,,
P0530,عطل حساس التكييف,حساس فريون,"1,000 - 2,800",0.8,400 - 700,RepairPal,,,,,,
P0501,مدى حساس السرعة,حساس VSS,"1,100 - 2,500",1,400 - 700,RepairPal,,,,,,
P0502,انخفاض دخل حساس السرعة,حساس VSS,"1,000 - 2,400",1,400 - 700,RepairPal,,,,,,
P0A7F,تدهور وحدة البطارية الهجين,فحص خلايا البطارية,"15,000 - 35,000",4,"3,000 - 6,000",RepairPal,,,,,,
P060A,أداء وحدة تحكم الكنترول الداخلي,إعادة برمجة ECU,"4,000 - 10,000",2,"2,000 - 4,000",RepairPal,,,,,,
C1391,تسريب داخلي في ضاغط الفرامل,وحدة ABS Actuator,"25,000 - 55,000",4,"2,500 - 5,000",RepairPal,,,,,,
P0A1B,عطل في كنترول المحرك الكهربائي,صيانة Drive Motor Ctrl,"15,000 - 40,000",3,"3,000 - 6,000",RepairPal,,,,,,
P0441,تدفق تطهير EVAP غير صحيح,صمام كانستر (Purge),"1,800 - 3,800",1,400 - 700,RepairPal,,,,,,
B1650,عطل حساس وزن الراكب (SRS),حساس الكرسي الأمامي,"2,500 - 5,500",2,"800 - 1,500",RepairPal,,,,,,
